GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bloombox: Java Client,core,Datamodel.PersistenceOptions.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.TableOptions.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.FieldPersistenceOptions,459,0,50,0,131,0,63,0,37,0
Bloombox: Java Client,core,Datamodel.TableFieldOptions.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.SubmessageOptions.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.TableOptions.Builder,344,0,30,0,115,0,47,0,32,0
Bloombox: Java Client,core,Datamodel.CollectionMode.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.PersistenceOptions.Builder,309,0,26,0,100,0,45,0,32,0
Bloombox: Java Client,core,Datamodel.TableOptions,484,0,52,0,142,0,64,0,37,0
Bloombox: Java Client,core,Datamodel.CollectionMode,123,0,10,0,28,0,16,0,10,0
Bloombox: Java Client,core,Datamodel.SubmessageOptions.Builder,309,0,26,0,100,0,45,0,32,0
Bloombox: Java Client,core,Datamodel.FieldPersistenceOptions.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.PersistenceOptions,459,0,50,0,131,0,63,0,37,0
Bloombox: Java Client,core,Datamodel.SubmessageOptions,459,0,50,0,131,0,63,0,37,0
Bloombox: Java Client,core,Datamodel.TableFieldOptions,498,0,57,0,144,0,67,0,37,0
Bloombox: Java Client,core,Datamodel,208,0,0,0,46,0,4,0,4,0
Bloombox: Java Client,core,Datamodel.FieldType.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,core,Datamodel.FieldPersistenceOptions.Builder,309,0,26,0,100,0,45,0,32,0
Bloombox: Java Client,core,Datamodel.FieldType,149,0,12,0,32,0,18,0,10,0
Bloombox: Java Client,core,Datamodel.TableFieldOptions.Builder,312,0,24,0,103,0,45,0,33,0
Bloombox: Java Client,com.google.api,AnnotationsProto.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
Bloombox: Java Client,com.google.api,CustomHttpPattern.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,com.google.api,CustomHttpPattern.Builder,344,0,30,0,115,0,47,0,32,0
Bloombox: Java Client,com.google.api,HttpProto,114,0,0,0,15,0,4,0,4,0
Bloombox: Java Client,com.google.api,Http.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
Bloombox: Java Client,com.google.api,AnnotationsProto,49,0,0,0,18,0,4,0,4,0
Bloombox: Java Client,com.google.api,HttpRule,1329,0,211,0,370,0,171,0,56,0
Bloombox: Java Client,com.google.api,HttpRule.Builder,1728,0,237,0,536,0,209,0,88,0
Bloombox: Java Client,com.google.api,HttpProto.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
Bloombox: Java Client,com.google.api,HttpRule.PatternCase,113,0,8,0,22,0,12,0,5,0
Bloombox: Java Client,com.google.api,CustomHttpPattern,484,0,52,0,142,0,64,0,37,0
Bloombox: Java Client,com.google.api,HttpRule.new Object() {...},54,0,0,0,1,0,1,0,1,0
